"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
347028,5,,5,,94,,4,,90,,5,,89,,4,,92,,88,,276,,27,,
347029,4,,4,,90,,4,,90,,4,,85,,4,,92,,82,,197,,29,,
347030,3,,2,,84,,3,,85,,3,,74,,2,,76,,69,,210,,21,,
347031,3,,3,,88,,3,,87,,4,,83,,3,,84,,77,,337,,20,,
347033,4,,5,,93,,4,,88,,4,,82,,4,,89,,87,,293,,31,,
347035,4,,4,,91,,4,,90,,5,,89,,4,,89,,88,,272,,32,,
347036,3,,4,,92,,3,,88,,2,,71,,3,,82,,78,,89,,14,,
347037,5,,5,,94,,4,,90,,5,,88,,4,,91,,87,,139,,26,,
347039,5,11,5,11,96,11,5,11,96,11,5,11,91,11,5,11,95,11,97,11,67,11,43,11,11
347041,4,,4,,91,,3,,87,,4,,83,,4,,92,,89,,121,,21,,
347042,5,,5,,93,,4,,89,,4,,82,,5,,93,,91,,194,,25,,
347043,4,,5,,92,,4,,89,,4,,86,,4,,89,,85,,247,,23,,
347044,3,,3,,89,,3,,86,,4,,82,,3,,88,,81,,309,,31,,
347049,Not Available,11,Not Available,11,74,11,Not Available,11,82,11,Not Available,11,87,11,Not Available,11,72,11,69,11,16,11,24,11,11
347051,3,,3,,87,,3,,84,,4,,82,,3,,84,,79,,483,,20,,
347053,Not Available,9,Not Available,9,96,9,Not Available,9,94,9,Not Available,9,82,9,Not Available,9,98,9,99,9,8,9,24,9,9
347054,4,,4,,91,,4,,90,,4,,83,,4,,91,,86,,248,,20,,
347055,4,,4,,91,,4,,88,,4,,83,,4,,87,,83,,184,,31,,
347056,3,,3,,88,,2,,81,,4,,87,,2,,79,,62,,105,,14,,
347059,4,,4,,91,,4,,89,,4,,86,,3,,85,,85,,306,,27,,
347061,4,11,4,11,92,11,4,11,91,11,4,11,83,11,4,11,83,11,80,11,69,11,11,11,11
347062,5,,4,,93,,4,,87,,5,,90,,5,,95,,89,,88,,20,,
347063,5,,4,,93,,4,,91,,5,,90,,5,,95,,89,,101,,21,,
347065,4,,4,,92,,4,,91,,4,,85,,4,,89,,82,,332,,24,,
347068,Not Available,11,Not Available,11,90,11,Not Available,11,79,11,Not Available,11,80,11,Not Available,11,95,11,63,11,23,11,29,11,11
347069,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
347070,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
347071,5,,5,,94,,5,,95,,5,,89,,4,,89,,89,,94,,29,,
347074,4,,4,,93,,4,,90,,5,,88,,4,,92,,89,,141,,30,,
347075,3,,3,,89,,3,,85,,4,,81,,3,,84,,78,,304,,24,,
347079,4,,4,,89,,3,,88,,5,,89,,4,,89,,86,,176,,24,,
347080,5,,4,,92,,5,,91,,5,,89,,5,,93,,90,,319,,24,,
347081,4,,5,,94,,3,,88,,4,,84,,4,,87,,85,,92,,38,,
347083,4,,4,,92,,4,,91,,4,,87,,4,,92,,89,,309,,27,,
347084,3,,3,,88,,3,,84,,3,,77,,3,,87,,74,,225,,24,,
347085,5,,5,,94,,4,,90,,5,,89,,4,,91,,88,,319,,32,,
347086,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
347087,4,,4,,89,,3,,87,,4,,81,,3,,87,,81,,370,,21,,
347089,4,,4,,90,,3,,87,,4,,81,,3,,83,,80,,147,,22,,
347091,4,,4,,89,,3,,86,,4,,84,,4,,88,,83,,320,,22,,
347094,4,,4,,91,,4,,91,,4,,84,,4,,88,,80,,283,,25,,
347096,Not Available,9,Not Available,9,83,9,Not Available,9,100,9,Not Available,9,95,9,Not Available,9,78,9,53,9,4,9,44,9,9
347097,3,,3,,87,,2,,83,,4,,85,,3,,88,,76,,148,,24,,
347098,2,,1,,81,,2,,80,,3,,80,,1,,74,,65,,109,,14,,
347099,4,,4,,91,,4,,90,,4,,83,,4,,88,,81,,256,,24,,
347100,4,,5,,93,,4,,89,,4,,81,,4,,90,,86,,120,,36,,
347101,Not Available,9,Not Available,9,86,9,Not Available,9,65,9,Not Available,9,77,9,Not Available,9,83,9,62,9,8,9,9,9,9
347102,3,,3,,89,,3,,85,,4,,83,,3,,87,,75,,192,,26,,
347104,4,,3,,90,,4,,89,,4,,86,,3,,86,,83,,323,,21,,
347105,4,,4,,89,,4,,89,,5,,88,,3,,88,,81,,269,,25,,
347106,4,,4,,91,,4,,89,,3,,80,,3,,86,,82,,254,,20,,
347110,2,,2,,84,,2,,83,,3,,77,,2,,79,,70,,369,,20,,
