"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
017000,5,,4,,91,,4,,89,,5,,88,,5,,92,,85,,741,,22,,
017009,4,,4,,91,,3,,88,,4,,86,,4,,91,,84,,313,,34,,
017013,5,,5,,96,,5,,94,,5,,91,,5,,98,,92,,165,,27,,
017014,4,,4,,91,,3,,86,,4,,87,,3,,87,,81,,114,,23,,
017016,4,,4,,92,,4,,89,,5,,89,,4,,90,,87,,173,,26,,
017018,4,,4,,92,,4,,93,,4,,87,,4,,89,,90,,276,,24,,
017020,4,,5,,92,,4,,91,,4,,87,,4,,88,,82,,304,,23,,
017024,4,,4,,90,,3,,87,,4,,85,,3,,87,,84,,380,,27,,
017025,3,,4,,90,,2,,83,,3,,80,,4,,87,,84,,275,,22,,
017026,4,,4,,90,,4,,89,,4,,81,,4,,86,,81,,299,,23,,
017027,4,,4,,91,,4,,90,,4,,87,,4,,87,,84,,532,,27,,
017034,4,,4,,92,,4,,90,,4,,87,,4,,90,,83,,281,,24,,
017035,4,,4,,91,,3,,88,,4,,84,,4,,87,,82,,323,,20,,
017037,4,,3,,90,,3,,85,,4,,86,,4,,90,,80,,201,,22,,
017039,3,,3,,87,,3,,85,,3,,79,,2,,81,,77,,335,,19,,
017048,5,,5,,94,,5,,93,,5,,89,,4,,93,,92,,153,,31,,
017050,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017051,3,,3,,89,,3,,86,,3,,79,,3,,84,,78,,305,,21,,
017052,4,,4,,91,,4,,90,,4,,81,,4,,89,,81,,262,,28,,
017053,4,,4,,92,,4,,88,,4,,87,,4,,88,,86,,260,,30,,
017054,4,,3,,87,,4,,90,,4,,83,,3,,86,,82,,223,,19,,
017055,4,,4,,92,,4,,90,,4,,84,,4,,87,,82,,218,,25,,
017056,4,,4,,91,,4,,89,,3,,77,,3,,81,,81,,133,,16,,
017058,4,,4,,91,,4,,91,,4,,85,,4,,90,,88,,342,,26,,
017063,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017066,4,,4,,90,,3,,87,,5,,89,,3,,85,,80,,236,,25,,
017069,4,,5,,93,,4,,90,,4,,87,,4,,91,,87,,305,,29,,
017070,5,,5,,93,,5,,94,,5,,90,,5,,94,,88,,143,,26,,
017071,4,,4,,93,,4,,91,,4,,85,,4,,90,,88,,284,,25,,
017072,4,,4,,92,,4,,90,,5,,89,,4,,87,,84,,105,,27,,
017078,5,,4,,92,,4,,90,,5,,90,,5,,89,,87,,131,,26,,
017079,5,,5,,97,,5,,96,,5,,91,,5,,99,,91,,80,,33,,
017080,4,,4,,92,,4,,90,,5,,88,,4,,92,,84,,288,,23,,
017082,3,,3,,86,,3,,84,,4,,81,,3,,84,,75,,368,,18,,
017084,4,,4,,90,,4,,89,,4,,87,,3,,86,,84,,119,,24,,
017085,4,,4,,90,,3,,88,,4,,86,,3,,83,,82,,174,,26,,
017086,5,,5,,94,,5,,92,,5,,90,,4,,84,,84,,72,,26,,
017088,5,,5,,93,,4,,90,,5,,88,,5,,95,,91,,104,,29,,
017089,4,,4,,92,,4,,90,,4,,86,,4,,93,,82,,232,,33,,
017090,5,,5,,94,,4,,91,,5,,88,,4,,88,,84,,111,,23,,
017091,4,,4,,91,,3,,89,,4,,86,,4,,92,,85,,143,,59,,
017092,4,11,3,11,88,11,3,11,84,11,5,11,92,11,5,11,95,11,87,11,46,11,31,11,11
017093,4,,5,,92,,4,,93,,4,,86,,4,,92,,82,,141,,29,,
017094,4,,4,,92,,4,,92,,4,,87,,4,,90,,92,,162,,34,,
017095,3,,4,,89,,3,,86,,4,,82,,2,,79,,77,,172,,27,,
017096,4,,4,,90,,4,,86,,4,,83,,3,,84,,81,,113,,21,,
017097,5,,5,,93,,5,,94,,5,,93,,4,,93,,90,,100,,35,,
017100,4,11,4,11,92,11,4,11,89,11,5,11,89,11,4,11,86,11,81,11,58,11,27,11,11
017103,Not Available,11,Not Available,11,100,11,Not Available,11,90,11,Not Available,11,83,11,Not Available,11,100,11,100,11,14,11,32,11,11
017104,5,,5,,98,,5,,93,,5,,93,,5,,93,,86,,125,,41,,
017106,Not Available,11,Not Available,11,98,11,Not Available,11,94,11,Not Available,11,96,11,Not Available,11,98,11,87,11,38,11,24,11,11
017107,5,,5,,94,,5,,92,,5,,93,,4,,91,,92,,182,,28,,
017109,Not Available,11,Not Available,11,96,11,Not Available,11,95,11,Not Available,11,95,11,Not Available,11,87,11,88,11,33,11,35,11,11
017112,5,,5,,94,,4,,90,,5,,92,,5,,92,,88,,94,,24,,
017115,4,,4,,89,,3,,87,,4,,84,,3,,86,,74,,115,,26,,
017116,4,,5,,92,,4,,91,,4,,85,,3,,86,,90,,319,,44,,
017117,4,,4,,92,,4,,89,,4,,85,,3,,86,,82,,200,,43,,
017118,4,,4,,89,,3,,88,,4,,86,,4,,89,,77,,152,,23,,
017119,4,,4,,89,,3,,86,,4,,83,,3,,86,,77,,530,,26,,
017121,5,,5,,94,,5,,94,,4,,87,,5,,93,,87,,162,,31,,
017123,4,,4,,92,,4,,91,,5,,89,,4,,91,,89,,130,,24,,
017124,5,,5,,94,,5,,92,,4,,87,,5,,92,,88,,127,,51,,
017125,5,,5,,92,,4,,91,,5,,88,,4,,90,,87,,291,,26,,
017128,5,,5,,93,,5,,92,,5,,88,,5,,93,,89,,510,,30,,
017129,4,,5,,92,,3,,86,,4,,84,,4,,90,,89,,274,,27,,
017132,4,11,5,11,92,11,4,11,87,11,4,11,82,11,3,11,82,11,72,11,61,11,18,11,11
017134,5,,5,,93,,4,,91,,5,,90,,4,,92,,89,,325,,29,,
017135,5,11,5,11,92,11,4,11,91,11,5,11,92,11,4,11,95,11,86,11,61,11,40,11,11
017136,3,,3,,88,,3,,85,,3,,80,,2,,76,,82,,78,,35,,
017138,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017142,4,,4,,91,,3,,86,,5,,89,,3,,84,,80,,112,,25,,
017143,5,,4,,92,,4,,91,,5,,89,,5,,91,,89,,138,,28,,
017145,4,,4,,92,,4,,91,,5,,89,,4,,91,,85,,305,,25,,
017146,Not Available,11,Not Available,11,92,11,Not Available,11,95,11,Not Available,11,85,11,Not Available,11,93,11,88,11,39,11,31,11,11
017147,5,,5,,92,,5,,92,,5,,91,,4,,90,,84,,89,,36,,
017148,4,,4,,89,,3,,84,,4,,85,,3,,85,,81,,243,,23,,
017149,4,,4,,91,,3,,86,,4,,85,,4,,88,,79,,362,,22,,
017151,4,,4,,91,,4,,90,,5,,90,,4,,90,,82,,152,,28,,
017152,5,,4,,92,,4,,88,,5,,91,,5,,95,,87,,95,,28,,
017153,4,,4,,92,,4,,90,,4,,85,,4,,87,,83,,458,,27,,
017154,3,,4,,90,,3,,87,,3,,77,,3,,87,,79,,129,,26,,
017155,3,,3,,89,,3,,84,,4,,82,,3,,86,,77,,271,,28,,
017157,4,,4,,91,,4,,90,,4,,86,,3,,86,,83,,123,,22,,
017158,4,,4,,92,,4,,89,,5,,88,,4,,92,,84,,298,,26,,
017159,4,,4,,91,,4,,88,,4,,82,,4,,91,,86,,255,,23,,
017160,4,,4,,92,,4,,88,,4,,82,,4,,90,,84,,95,,30,,
017161,3,,3,,90,,3,,86,,4,,81,,2,,84,,81,,203,,18,,
017163,4,,4,,92,,4,,90,,5,,90,,4,,85,,78,,109,,23,,
017164,4,,4,,91,,4,,88,,4,,84,,4,,89,,86,,281,,28,,
017165,5,,5,,94,,4,,93,,4,,87,,5,,91,,86,,286,,26,,
017166,4,,4,,91,,5,,93,,4,,84,,4,,91,,81,,104,,21,,
017167,4,,4,,93,,4,,88,,3,,80,,4,,91,,84,,78,,18,,
017168,4,,4,,90,,3,,88,,5,,91,,3,,85,,78,,200,,23,,
017170,5,,5,,93,,4,,91,,5,,88,,5,,92,,90,,179,,25,,
017171,3,,3,,87,,3,,87,,4,,84,,3,,81,,78,,233,,28,,
017175,4,,4,,90,,4,,90,,4,,84,,4,,87,,78,,216,,25,,
017176,3,,3,,87,,2,,80,,4,,82,,2,,81,,71,,202,,24,,
017177,5,,5,,93,,4,,90,,5,,90,,4,,91,,87,,211,,28,,
017178,4,,4,,93,,4,,88,,4,,84,,4,,89,,84,,332,,25,,
017179,3,,3,,86,,3,,85,,3,,79,,2,,80,,74,,316,,23,,
017180,3,,4,,90,,3,,84,,3,,79,,3,,80,,74,,149,,22,,
017182,4,,4,,92,,3,,88,,4,,81,,4,,88,,77,,96,,19,,
017300,4,,4,,92,,3,,87,,4,,85,,4,,87,,85,,340,,26,,
017305,4,,5,,93,,4,,90,,4,,86,,4,,90,,85,,314,,26,,
017307,4,,5,,94,,3,,85,,5,,88,,4,,86,,81,,121,,22,,
017319,4,,4,,90,,3,,86,,4,,82,,3,,86,,80,,279,,24,,
017320,4,,4,,93,,4,,88,,5,,89,,4,,92,,86,,346,,25,,
017323,4,,4,,91,,4,,90,,5,,90,,4,,89,,85,,113,,41,,
017324,4,,4,,90,,4,,89,,4,,86,,4,,89,,80,,312,,32,,
017326,4,,4,,91,,3,,87,,5,,88,,4,,89,,83,,340,,35,,
017327,4,,4,,91,,4,,88,,4,,87,,4,,91,,86,,184,,29,,
017328,5,,5,,93,,4,,91,,5,,88,,5,,93,,89,,141,,29,,
017831,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017878,4,,4,,92,,4,,91,,5,,88,,4,,89,,87,,125,,28,,
017879,5,,5,,95,,4,,92,,4,,87,,5,,93,,85,,95,,30,,
017880,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027001,3,,3,,89,,2,,82,,3,,78,,3,,83,,84,,122,,19,,
027002,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027006,Not Available,11,Not Available,11,89,11,Not Available,11,95,11,Not Available,11,85,11,Not Available,11,95,11,89,11,31,11,18,11,11
027008,2,,2,,80,,2,,82,,3,,76,,2,,81,,78,,157,,19,,
027009,Not Available,11,Not Available,11,92,11,Not Available,11,93,11,Not Available,11,83,11,Not Available,11,100,11,81,11,15,11,17,11,11
027010,Not Available,11,Not Available,11,96,11,Not Available,11,97,11,Not Available,11,79,11,Not Available,11,99,11,96,11,23,11,17,11,11
027014,Not Available,11,Not Available,11,82,11,Not Available,11,83,11,Not Available,11,90,11,Not Available,11,80,11,88,11,30,11,25,11,11
027020,Not Available,9,Not Available,9,85,9,Not Available,9,83,9,Not Available,9,82,9,Not Available,9,71,9,73,9,10,9,11,9,9
027022,4,11,4,11,90,11,4,11,88,11,4,11,84,11,3,11,82,11,77,11,66,11,32,11,11
027032,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027034,4,"10,11",4,"10,11",88,"10,11",3,"10,11",85,"10,11",4,"10,11",82,"10,11",4,"10,11",86,"10,11",84,"10,11",45,"10,11",18,"10,11","10,11"
027035,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
027036,Not Available,11,Not Available,11,84,11,Not Available,11,76,11,Not Available,11,69,11,Not Available,11,81,11,86,11,26,11,25,11,11
027037,Not Available,11,Not Available,11,93,11,Not Available,11,82,11,Not Available,11,95,11,Not Available,11,98,11,97,11,24,11,24,11,11
027038,5,11,5,11,97,11,4,11,92,11,5,11,88,11,4,11,90,11,91,11,59,11,16,11,11
037015,3,,3,,88,,3,,85,,3,,77,,3,,85,,77,,1331,,24,,
037016,3,,3,,86,,3,,84,,2,,68,,3,,84,,74,,184,,19,,
037024,4,,4,,91,,3,,88,,3,,75,,4,,88,,81,,281,,28,,
037027,3,11,4,11,86,11,3,11,85,11,2,11,69,11,4,11,86,11,76,11,52,11,17,11,11
037030,4,,4,,88,,4,,88,,4,,83,,3,,82,,79,,138,,30,,
037036,3,11,3,11,87,11,3,11,87,11,3,11,75,11,3,11,86,11,69,11,63,11,28,11,11
037037,4,,4,,92,,3,,87,,4,,82,,4,,89,,84,,312,,28,,
037042,4,,4,,93,,3,,85,,4,,85,,4,,92,,82,,89,,28,,
037047,3,11,4,11,92,11,3,11,84,11,4,11,83,11,1,11,81,11,85,11,59,11,24,11,11
037050,4,,4,,92,,4,,91,,5,,89,,4,,90,,86,,151,,32,,
037057,4,,4,,89,,4,,90,,3,,80,,3,,80,,76,,117,,36,,
037068,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037070,2,,2,,86,,2,,81,,3,,78,,2,,80,,75,,324,,27,,
037099,4,,5,,92,,4,,90,,4,,85,,4,,90,,81,,70,,22,,
037101,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037106,4,,4,,90,,3,,87,,4,,86,,4,,87,,82,,209,,26,,
037112,4,11,4,11,90,11,5,11,96,11,4,11,82,11,4,11,90,11,87,11,58,11,29,11,11
037114,4,,4,,91,,3,,86,,4,,84,,4,,90,,84,,133,,28,,
037118,Not Available,9,Not Available,9,99,9,Not Available,9,98,9,Not Available,9,98,9,Not Available,9,97,9,98,9,1,9,20,9,9
037125,Not Available,11,Not Available,11,94,11,Not Available,11,94,11,Not Available,11,81,11,Not Available,11,95,11,97,11,33,11,19,11,11
037129,3,,3,,87,,3,,86,,3,,80,,4,,92,,87,,81,,37,,
037130,4,,4,,90,,4,,88,,4,,84,,4,,88,,83,,417,,41,,
037132,2,,2,,83,,2,,81,,3,,75,,2,,78,,76,,224,,11,,
037139,4,,4,,91,,4,,88,,4,,84,,4,,88,,81,,165,,29,,
037144,3,,3,,87,,3,,87,,3,,73,,3,,86,,80,,160,,28,,
037154,3,,3,,89,,3,,83,,4,,82,,3,,83,,81,,252,,26,,
037162,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037178,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037185,3,,3,,86,,3,,86,,3,,73,,2,,83,,75,,143,,24,,
037188,4,,4,,91,,4,,92,,4,,83,,4,,88,,90,,86,,23,,
037192,3,,3,,86,,3,,83,,4,,81,,2,,78,,75,,243,,25,,
037199,4,,4,,93,,4,,91,,4,,85,,4,,90,,80,,304,,27,,
037202,3,,2,,83,,3,,82,,3,,76,,2,,78,,73,,232,,22,,
037204,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037205,Not Available,9,Not Available,9,91,9,Not Available,9,73,9,Not Available,9,63,9,Not Available,9,100,9,6,9,4,9,40,9,9
037206,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037212,Not Available,11,Not Available,11,92,11,Not Available,11,89,11,Not Available,11,86,11,Not Available,11,91,11,76,11,17,11,19,11,11
037213,3,,4,,89,,3,,87,,3,,73,,3,,88,,86,,373,,31,,
037215,3,,4,,89,,3,,85,,4,,82,,2,,84,,79,,82,,25,,
037217,4,,4,,89,,3,,85,,4,,85,,4,,87,,84,,232,,43,,
037220,3,,3,,84,,3,,83,,3,,80,,2,,82,,70,,210,,19,,
037221,4,,3,,89,,4,,89,,4,,83,,4,,86,,80,,148,,30,,
037226,2,,2,,84,,2,,81,,3,,73,,2,,83,,78,,291,,20,,
037228,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037229,Not Available,9,Not Available,9,98,9,Not Available,9,62,9,Not Available,9,73,9,Not Available,9,44,9,42,9,8,9,32,9,9
037230,4,,5,,93,,3,,90,,4,,82,,5,,94,,82,,118,,40,,
037231,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037232,4,11,5,11,92,11,3,11,87,11,5,11,92,11,4,11,92,11,78,11,52,11,18,11,11
037233,2,,1,,82,,2,,79,,2,,69,,1,,82,,59,,84,,16,,
037234,3,,3,,88,,3,,82,,3,,74,,3,,83,,75,,278,,17,,
037235,2,,2,,84,,2,,82,,2,,71,,1,,76,,63,,263,,16,,
037239,4,11,4,11,90,11,3,11,85,11,4,11,82,11,3,11,86,11,81,11,65,11,13,11,11
037242,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037243,Not Available,9,Not Available,9,90,9,Not Available,9,80,9,Not Available,9,75,9,Not Available,9,75,9,74,9,7,9,9,9,9
037245,1,,1,,82,,1,,76,,2,,66,,1,,73,,63,,230,,23,,
037246,2,11,2,11,83,11,3,11,88,11,1,11,60,11,3,11,80,11,76,11,40,11,13,11,11
037247,4,,4,,89,,3,,85,,4,,86,,4,,87,,83,,183,,32,,
037248,3,,4,,88,,3,,82,,3,,74,,3,,81,,77,,205,,26,,
037249,3,,4,,89,,3,,82,,3,,80,,3,,86,,77,,103,,15,,
037250,2,,3,,86,,1,,73,,3,,74,,2,,76,,71,,91,,20,,
037251,Not Available,11,Not Available,11,84,11,Not Available,11,91,11,Not Available,11,85,11,Not Available,11,88,11,76,11,15,11,30,11,11
037252,4,,5,,92,,4,,91,,4,,86,,4,,87,,85,,143,,37,,
037253,3,,4,,88,,3,,82,,3,,79,,3,,79,,71,,96,,17,,
037254,2,,3,,87,,2,,83,,3,,80,,1,,81,,75,,147,,24,,
037257,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037258,2,11,2,11,86,11,2,11,83,11,3,11,79,11,1,11,75,11,73,11,58,11,16,11,11
037260,3,,3,,86,,2,,82,,3,,77,,2,,79,,73,,203,,21,,
037261,Not Available,11,Not Available,11,65,11,Not Available,11,70,11,Not Available,11,59,11,Not Available,11,64,11,46,11,11,11,24,11,11
037262,2,,3,,85,,2,,80,,2,,69,,2,,79,,71,,209,,19,,
037263,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037264,2,,3,,89,,2,,82,,2,,72,,2,,80,,76,,210,,29,,
037265,Not Available,"10,11",Not Available,"10,11",82,"10,11",Not Available,"10,11",64,"10,11",Not Available,"10,11",72,"10,11",Not Available,"10,11",69,"10,11",75,"10,11",31,"10,11",23,"10,11","10,11"
037269,2,,2,,84,,2,,82,,2,,69,,2,,80,,68,,105,,18,,
037271,2,,1,,80,,2,,76,,2,,72,,1,,75,,68,,184,,23,,
037273,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037274,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037280,4,,4,,90,,4,,88,,4,,84,,4,,89,,81,,170,,33,,
037281,4,,4,,89,,3,,87,,4,,83,,3,,88,,78,,228,,30,,
037282,3,11,4,11,91,11,3,11,86,11,3,11,80,11,3,11,86,11,77,11,57,11,15,11,11
037285,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037286,Not Available,9,Not Available,9,65,9,Not Available,9,46,9,Not Available,9,73,9,Not Available,9,39,9,21,9,5,9,13,9,9
037288,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037290,4,11,5,11,91,11,5,11,94,11,2,11,69,11,5,11,95,11,86,11,52,11,14,11,11
037294,Not Available,11,Not Available,11,93,11,Not Available,11,89,11,Not Available,11,83,11,Not Available,11,97,11,97,11,32,11,22,11,11
037295,2,,2,,83,,2,,78,,2,,71,,1,,77,,73,,261,,24,,
037297,3,11,2,11,85,11,3,11,82,11,5,11,89,11,3,11,84,11,77,11,46,11,13,11,11
037298,4,,4,,90,,4,,89,,4,,82,,3,,88,,81,,176,,26,,
037299,Not Available,11,Not Available,11,95,11,Not Available,11,89,11,Not Available,11,85,11,Not Available,11,92,11,88,11,28,11,19,11,11
037402,4,,4,,90,,3,,88,,4,,83,,4,,88,,85,,342,,32,,
037403,3,,4,,89,,2,,85,,3,,77,,3,,82,,74,,173,,33,,
037404,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037405,Not Available,11,Not Available,11,82,11,Not Available,11,80,11,Not Available,11,81,11,Not Available,11,84,11,79,11,37,11,12,11,11
037410,2,11,1,11,78,11,2,11,83,11,2,11,69,11,1,11,73,11,61,11,45,11,13,11,11
037412,5,,5,,95,,5,,93,,5,,93,,5,,94,,85,,77,,27,,
037413,2,,1,,81,,2,,78,,3,,79,,1,,72,,69,,92,,38,,
037414,1,,1,,81,,2,,79,,1,,57,,1,,75,,58,,211,,14,,
037416,4,,4,,92,,4,,90,,4,,87,,3,,89,,88,,226,,37,,
037417,3,,3,,88,,2,,79,,4,,81,,4,,89,,77,,134,,24,,
037418,3,,3,,90,,3,,86,,3,,74,,3,,89,,83,,206,,20,,
037419,Not Available,11,Not Available,11,91,11,Not Available,11,89,11,Not Available,11,92,11,Not Available,11,100,11,56,11,11,11,22,11,11
037421,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037422,2,,2,,82,,3,,84,,2,,68,,2,,79,,70,,110,,14,,
037423,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037424,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037425,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037426,Not Available,11,Not Available,11,89,11,Not Available,11,89,11,Not Available,11,73,11,Not Available,11,87,11,91,11,30,11,19,11,11
037431,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037432,Not Available,11,Not Available,11,83,11,Not Available,11,85,11,Not Available,11,78,11,Not Available,11,84,11,67,11,36,11,16,11,11
037433,3,,3,,87,,3,,84,,2,,71,,2,,82,,73,,88,,20,,
037436,3,,3,,88,,4,,91,,3,,79,,3,,86,,84,,75,,17,,
037437,3,,3,,89,,2,,80,,5,,88,,2,,79,,82,,83,,21,,
037438,3,,3,,86,,3,,83,,3,,79,,3,,81,,73,,154,,25,,
037439,3,,3,,86,,3,,86,,3,,73,,2,,77,,76,,101,,22,,
037441,1,,1,,83,,1,,75,,2,,70,,1,,69,,65,,88,,14,,
037442,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037443,Not Available,11,Not Available,11,86,11,Not Available,11,83,11,Not Available,11,73,11,Not Available,11,69,11,62,11,22,11,22,11,11
037445,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037446,2,,2,,86,,2,,82,,3,,79,,2,,86,,74,,115,,33,,
037447,4,,4,,91,,3,,84,,4,,87,,4,,90,,83,,149,,33,,
037450,4,,4,,90,,3,,88,,4,,82,,3,,87,,82,,329,,34,,
037451,4,,4,,90,,3,,87,,5,,89,,4,,89,,83,,140,,34,,
037452,2,11,1,11,82,11,1,11,72,11,4,11,83,11,1,11,81,11,77,11,42,11,24,11,11
037453,Not Available,11,Not Available,11,74,11,Not Available,11,63,11,Not Available,11,72,11,Not Available,11,64,11,54,11,19,11,13,11,11
037454,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037455,Not Available,"9,10",Not Available,"9,10",97,"9,10",Not Available,"9,10",98,"9,10",Not Available,"9,10",94,"9,10",Not Available,"9,10",100,"9,10",84,"9,10",7,"9,10",35,"9,10","9,10"
037456,5,,5,,92,,4,,92,,4,,87,,5,,93,,89,,438,,43,,
037458,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037459,Not Available,11,Not Available,11,83,11,Not Available,11,86,11,Not Available,11,79,11,Not Available,11,82,11,77,11,26,11,20,11,11
037462,Not Available,11,Not Available,11,77,11,Not Available,11,76,11,Not Available,11,63,11,Not Available,11,61,11,61,11,19,11,17,11,11
037463,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
